gene,pval
isogroup262621,-2.14476503918372
isogroup183782,3.11573318528363
isogroup279292,1.03216792734634
isogroup275837,-1.15388113349924
isogroup52982,0.750394503218859
isogroup51989,0.405187241314611
isogroup198260,1.17752134796247
isogroup25445,-1.63703782736208
isogroup276580,-0.600271741203187
isogroup213808,0.683025193082989
isogroup156698,0.340184046538737
isogroup124973,0.518537307908616
isogroup122824,0.145391844584133
isogroup274501,-1.4831564160439
isogroup56794,-1.03201647771595
isogroup184538,0.215627187696434
isogroup84197,-0.130802397282427
isogroup43719,-0.130832942837863
isogroup280453,-0.0689688096704054
isogroup277027,-1.24920902711273
isogroup61171,-1.38336223171347
isogroup216609,1.47745677229087
isogroup162783,-0.190507010185499
isogroup214473,-0.327762169511897
isogroup121248,1.87580862418639
isogroup277345,-1.35203228237857
isogroup257618,-0.500381781813985
isogroup277912,-1.12779347906462
isogroup201836,0.369434239519098
isogroup82543,-0.457920312181231
isogroup125064,0.0447349484408888
isogroup60758,-1.41681365052745
isogroup278551,0.601633735449047
isogroup280111,0.082244274682812
isogroup160417,0.597684805126912
isogroup182305,0.537316441717362
isogroup48008,0.412024275728845
isogroup123620,-1.50359519336808
isogroup118336,-0.258797045812712
isogroup28801,0.184674962869946
isogroup200452,0.478244214202451
isogroup277620,-1.44655759178631
isogroup117382,0.169469555892784
isogroup221784,1.13526554386521
isogroup292620,-0.0933828276097784
isogroup279721,-0.529199370123142
isogroup173687,1.08612318995517
isogroup181282,0.485352183749573
isogroup280703,0.176069877299033
isogroup112997,4.9045924594653e-05
isogroup80930,0.0191893102203764
isogroup243948,3.51130529679419
isogroup160338,0.255345572769005
isogroup290891,-0.244269948719305
isogroup277715,0.0662759715866465
isogroup275374,-0.909409442102173
isogroup111769,-1.64599838645227
isogroup277259,0.998819289348394
isogroup232397,-0.305664313752189
isogroup324870,0.425574605048774
isogroup184662,0.490149259491823
isogroup204653,0.32416321006274
isogroup219863,0.0392375548250104
isogroup116828,-0.367818610806652
isogroup22774,0.701486338107639
isogroup279781,0.361956919395388
isogroup119145,-0.381114195032901
isogroup114651,0.018626592518874
isogroup77055,0.990993858725106
isogroup277604,-0.231999736597897
isogroup281041,-1.28917988550894
isogroup52080,1.50040866983569
isogroup92465,0.0915400515813104
isogroup279077,-1.54533192851248
isogroup156848,0.104949457154337
isogroup238965,0.0224331263819872
isogroup24505,0.139682208321776
