isogroup34524	GO:0005789;GO:0005635;GO:0030433;GO:0006986
isogroup13592	GO:0005737;GO:0048471;GO:0005524;GO:0004709;GO:0046872;GO:0000186;GO:0060718;GO:0035556;GO:0019100;GO:0001890;GO:0043507;GO:1900745;GO:0051973;GO:1904355;GO:0032212;GO:0010468;GO:0010225
isogroup12960	GO:0071013;GO:0005737;GO:0005634;GO:0005681;GO:0000398;GO:0000375
isogroup03107	GO:0005737;GO:0005634;GO:0031386;GO:0006464;GO:0000398;GO:0022008;GO:0034126
isogroup14701	GO:0032580;GO:0030660;GO:0016021;GO:0004871;GO:0008308;GO:0051452;GO:0015031;GO:0043588
isogroup00617	GO:0005524;GO:0004004;GO:0044822;GO:0010501
isogroup08585	GO:0005913;GO:0005737;GO:0005874;GO:0005634;GO:0098641;GO:0051082;GO:0051301;GO:0007067;GO:0007275;GO:0006457
isogroup26819	GO:0000943;GO:0003887;GO:0008233;GO:0004540;GO:0003723;GO:0003964;GO:0032197
isogroup10621	GO:0005913;GO:0005737;GO:0005829;GO:0070062;GO:0016020;GO:0005634;GO:0098641;GO:0004364;GO:0003746;GO:0006749;GO:0009615;GO:0006414
isogroup08817	GO:0005829;GO:0005654;GO:0005634;GO:0022624;GO:0008540;GO:0044822;GO:0031593;GO:0043248;GO:0043161
isogroup23210	GO:0005212
isogroup02160	GO:0008023;GO:0046872;GO:0000993;GO:0048096;GO:0006368
isogroup05174	GO:0005681;GO:0046540;GO:0005688;GO:0044822;GO:0000398
isogroup03042	GO:0005737;GO:0035267;GO:0005730;GO:0005634;GO:0032777;GO:0000812;GO:0004402;GO:0035064;GO:0008270;GO:0043968;GO:0043967;GO:0043065;GO:0040008;GO:0006355;GO:0006351
isogroup01038	GO:0005777;GO:0052899;GO:0052904;GO:0052903;GO:0052902;GO:0052901;GO:0008215
isogroup25868	GO:0009986;GO:0036513;GO:0005783;GO:0005789;GO:0030660;GO:0071458;GO:0071556;GO:0005765;GO:0016020;GO:0005886;GO:0005791;GO:0042500;GO:0008233;GO:0042803;GO:0031625;GO:0033619;GO:1904211;GO:0051289;GO:0006465
isogroup13110	GO:0005814;GO:0005813;GO:0005737;GO:0005829;GO:0000242;GO:0019902;GO:0051298;GO:0000086;GO:0010923;GO:0051225
isogroup06246	GO:0090544;GO:0045111;GO:0043231;GO:0071565;GO:0071564;GO:0000790;GO:0005654;GO:0005634;GO:0016514;GO:0005524;GO:0016887;GO:0004386;GO:0001105;GO:0044212;GO:0035887;GO:0006325;GO:0006338;GO:0030308;GO:0008285;GO:0045892;GO:0007399;GO:0006334;GO:0045944;GO:0045893
isogroup30063	GO:0042765;GO:0016255
isogroup14669	GO:0016324;GO:0031526;GO:0009986;GO:0005737;GO:0016021;GO:0005886;GO:0005542;GO:0008517;GO:0015232;GO:0015078;GO:0015350;GO:1904447;GO:0015884;GO:0015886;GO:1902600;GO:0051958
isogroup03685	
isogroup14456	GO:0005829;GO:0045335;GO:0030670;GO:0005886;GO:0019003;GO:0005525;GO:0015031;GO:0042147;GO:0007264
isogroup11540	GO:0005604;GO:0070062;GO:0031012;GO:0005615;GO:0005578;GO:0005802;GO:0050839;GO:0005518;GO:0050840;GO:0001525;GO:0007155;GO:0008283;GO:0002062;GO:0030198
isogroup30439	GO:0005654;GO:0005634;GO:0000166;GO:0044822;GO:0006396
isogroup06936	GO:0009986;GO:0005783;GO:0005788;GO:0070062;GO:0005925;GO:0042470;GO:0043209;GO:0005634;GO:0044822;GO:0003756;GO:0045454;GO:2001238;GO:0006457;GO:0034976
isogroup36519	GO:0000790;GO:0005634;GO:0005667;GO:0003677;GO:0003690;GO:0000978;GO:0000981;GO:0043565;GO:0003713;GO:0003700;GO:0008134;GO:0032870;GO:0007565;GO:0000122;GO:0045597;GO:0045944;GO:0051726;GO:0010941;GO:0042127;GO:0051591;GO:0051412;GO:0034097;GO:0042493;GO:0009416;GO:0032496;GO:0009612;GO:0014070;GO:0043434;GO:0032570;GO:0006366
isogroup19360	GO:0005913;GO:0005737;GO:0005829;GO:0070062;GO:0005794;GO:0005654;GO:0005634;GO:0000502;GO:0005839;GO:0098641;GO:0004298;GO:0002479;GO:0051603
isogroup16777	GO:0005786;GO:0008312;GO:0006617;GO:0006616
isogroup28393	GO:0009986;GO:0005737;GO:0070062;GO:0005925;GO:0004198;GO:0006508
isogroup27860	GO:0005743;GO:0005739;GO:0048039;GO:0045333;GO:0006744
isogroup07949	GO:0004843;GO:0016579;GO:0006511
isogroup26603	GO:0005769;GO:0006893;GO:0015031
isogroup15780	GO:0015629;GO:0043231;GO:0000790;GO:0005654;GO:0005634;GO:0005669;GO:0033276;GO:0046983;GO:0003700;GO:0044212;GO:0006325;GO:0006352;GO:0016573;GO:1901796;GO:0042795;GO:0006368;GO:0006366;GO:0006367;GO:0016032
isogroup06365	GO:0016324;GO:0030139;GO:0005789;GO:0005768;GO:0005794;GO:0000139;GO:0031902;GO:0005765;GO:0016020;GO:0048471;GO:0070290;GO:0035091;GO:0004630;GO:0048870;GO:0006935;GO:0048017;GO:0016042;GO:0006654;GO:0007265;GO:0032534;GO:0007264
isogroup00420	GO:0005737
isogroup35952	GO:0005737;GO:0005634;GO:0003677;GO:0003700;GO:0038061;GO:0006357;GO:0048511;GO:0006351
isogroup35802	GO:0005923;GO:0005737;GO:0012505;GO:0070062;GO:0043219;GO:0035749;GO:0005654;GO:0005886;GO:0043234;GO:0043220;GO:0019904;GO:0070830;GO:0090162;GO:0090002;GO:0002011;GO:0032288;GO:0032287;GO:0035750
isogroup04928	GO:0005938;GO:0005737;GO:0005634;GO:0016567;GO:0030587;GO:0006511
isogroup18628	GO:0019898;GO:0016787;GO:0016810;GO:0016811;GO:0006807
isogroup15043	GO:1904115;GO:0005930;GO:0005814;GO:0005813;GO:0005929;GO:0005829;GO:0070062;GO:0016939;GO:0005874;GO:0015630;GO:0031514;GO:0043005;GO:0043025;GO:0032391;GO:0097470;GO:0005524;GO:0016887;GO:0008017;GO:0003777;GO:0017137;GO:0030507;GO:0009952;GO:0010457;GO:0060271;GO:0021542;GO:0007368;GO:0021904;GO:0009953;GO:0036334;GO:0008544;GO:0007507;GO:0001947;GO:0001701;GO:0060122;GO:0001822;GO:0061024;GO:0034454;GO:0007018;GO:0044458;GO:0061351;GO:0021915;GO:1905515;GO:1905128;GO:0050679;GO:2000771;GO:0048260;GO:0007224
isogroup26955	GO:0005776;GO:0000421;GO:0031410;GO:0005829;GO:0012505;GO:0005874;GO:0031090;GO:0008017;GO:0031625;GO:0000045;GO:0006995;GO:0016236;GO:0000422
isogroup06655	GO:0005794;GO:0005741;GO:0030867;GO:0004430;GO:0071889;GO:0005524;GO:0048015
isogroup35426	GO:0005578;GO:0046872;GO:0007155
isogroup06101	GO:0005623;GO:0009055;GO:0016615;GO:0016616;GO:0015035;GO:0005975;GO:0045454;GO:0006108;GO:0006099
isogroup20879	GO:0001669;GO:0097149;GO:0032154;GO:0005737;GO:0005829;GO:0070062;GO:0031234;GO:0005874;GO:0030496;GO:0072686;GO:0005654;GO:0005634;GO:0051233;GO:0043014;GO:0048487;GO:0043015;GO:0005096;GO:0046872;GO:0008017;GO:0005547;GO:0019901;GO:0000915;GO:0019886;GO:0009790;GO:0035556;GO:0007018;GO:0000281;GO:0051256;GO:0007405;GO:0032467;GO:0051988;GO:0051056;GO:0006890;GO:0007283;GO:0008272
isogroup03603	
isogroup04110	GO:0001669;GO:0097228;GO:0005516
isogroup11995	GO:0005829;GO:0005769;GO:0031901;GO:0005886;GO:0071203;GO:0015031;GO:0042147
isogroup11802	GO:0016021;GO:0021984;GO:0009887;GO:0009952;GO:0008015;GO:0048701;GO:0048839;GO:0042694;GO:0031290;GO:0007519;GO:0007224
isogroup03416	GO:0005813;GO:0005737;GO:0005739;GO:0005634;GO:0043235;GO:0005102;GO:0003723;GO:0030308;GO:0017148;GO:0090263;GO:0050775;GO:0061003;GO:0033138;GO:0032092;GO:0045944
isogroup01365	GO:0005737;GO:0005615;GO:0005764;GO:0008047;GO:0001664;GO:0007193;GO:0060742;GO:0046836;GO:0006687;GO:0060736;GO:0019216
isogroup12119	GO:0005737;GO:0005829;GO:0031965;GO:0005654;GO:0005634;GO:0005524;GO:0004550;GO:0019206;GO:0050145;GO:0006756;GO:0006757;GO:0061508;GO:0061566;GO:0006174;GO:0061565;GO:0061570;GO:0061567;GO:0006186;GO:0061568;GO:0015949;GO:0061571;GO:0061569
isogroup11159	GO:0030054;GO:0005622;GO:0016020;GO:0014069;GO:0045211;GO:0005086;GO:0032011;GO:0032012
isogroup07531	GO:0016021;GO:0003676;GO:0015074
isogroup36124	GO:0005887;GO:0008519;GO:0072488;GO:0019740;GO:0015695
isogroup34789	GO:0043293;GO:0005737;GO:0005856;GO:0005829;GO:0070062;GO:0016020;GO:0005739;GO:0005635;GO:0005634;GO:0048471;GO:0008630;GO:0008631;GO:0050728;GO:0042347;GO:0043065;GO:0043280;GO:0042307;GO:1901222;GO:0009411
isogroup04288	GO:0005737;GO:0031965;GO:0034399;GO:0008139;GO:0008565;GO:0006607;GO:0000059;GO:0000060;GO:0006610
isogroup18637	GO:0005634;GO:0004521;GO:0030145;GO:0003723;GO:0043144
isogroup07400	GO:0099617;GO:0005759;GO:0005654;GO:0003858
isogroup04510	GO:0005840;GO:0003735;GO:0006412
isogroup36751	GO:0016021;GO:0005886;GO:0005524;GO:0042626
isogroup04208	GO:0005212
isogroup23740	GO:0022625;GO:0008201;GO:0003723;GO:0003735;GO:0046632;GO:0002181
isogroup26747	GO:0000796;GO:0005829;GO:0005634;GO:0051301;GO:0007076
isogroup15745	
isogroup15846	GO:0005737;GO:0070062;GO:0016021;GO:0043231;GO:0005741;GO:0005739;GO:0031965;GO:0005497;GO:0008503;GO:0015485;GO:0030325;GO:0007568;GO:0006820;GO:0006915;GO:0048266;GO:0008283;GO:0071476;GO:0071222;GO:0071294;GO:0006821;GO:0060242;GO:0008347;GO:0006783;GO:0006869;GO:0072656;GO:1903579;GO:0060253;GO:1903147;GO:0045019;GO:0031397;GO:0032720;GO:0014012;GO:0043065;GO:0051928;GO:0060252;GO:0051901;GO:0010940;GO:2000379;GO:0006626;GO:0032374;GO:0050810;GO:0042493;GO:0010042;GO:0032570;GO:0033574;GO:0010266;GO:0006694;GO:0008202
isogroup28161	GO:0003964;GO:0006313
isogroup34448	
isogroup29946	GO:0005759;GO:0005739;GO:0005524;GO:0000287;GO:0004826;GO:0000049;GO:0006432;GO:0008033
isogroup17799	GO:0005730;GO:0016605;GO:0032435;GO:0031397
isogroup10799	GO:0016021;GO:0005743;GO:0005739;GO:0070469;GO:0051537;GO:0046872;GO:0008121
isogroup14182	GO:0005814;GO:0005929;GO:0000922;GO:0016595;GO:0016594;GO:0016596
isogroup30371	GO:0005737;GO:0008190;GO:0030371;GO:0019933;GO:0008286;GO:0007613;GO:0050804;GO:0045947;GO:0048167;GO:0035176;GO:0031929;GO:0006412
isogroup19544	GO:0005887;GO:0098595;GO:0007155;GO:0042675;GO:0046533;GO:0050931
isogroup05657	GO:0003964;GO:0006313
isogroup03394	GO:0005783;GO:0016021;GO:0005743;GO:0005747;GO:0008137;GO:0006120;GO:0032981
isogroup21374	
isogroup16347	GO:0005913;GO:0005813;GO:0031410;GO:0005829;GO:0005793;GO:0070062;GO:0090543;GO:0030496;GO:0005635;GO:0098641;GO:0090541;GO:0032403;GO:0019904;GO:0009838;GO:0051301;GO:0000910;GO:0045184;GO:0048672;GO:0045862;GO:0008104;GO:0015031;GO:0046745;GO:0019076
isogroup01656	GO:0005737;GO:0030496;GO:0016607;GO:0003755;GO:0007049;GO:2000146;GO:0070373;GO:0032091;GO:0042177;GO:0030512;GO:0090263;GO:0043547;GO:0001934;GO:0045944;GO:0051443;GO:0050821;GO:0042127;GO:0032465;GO:0060393;GO:1900180
isogroup21564	GO:0005789;GO:0016021;GO:0005741;GO:0005739;GO:0005524;GO:0102391;GO:0004467;GO:0032869;GO:0006631;GO:0015908;GO:0008654;GO:0032000;GO:0010747;GO:0010867;GO:0070723;GO:0009749;GO:0007584;GO:0009744
isogroup15699	GO:0005829;GO:0030425;GO:0005643;GO:0005654;GO:0005634;GO:0008139;GO:0008565;GO:0006607
isogroup03957	GO:0005737;GO:0005654;GO:0003676;GO:0008270;GO:0051321;GO:0006355;GO:0006351
isogroup12747	GO:0042645;GO:0005739;GO:0005634;GO:0003677;GO:0030674;GO:0070584;GO:0016242;GO:0045931
isogroup20649	GO:0030425;GO:0000502;GO:0005838;GO:0008541;GO:0022008;GO:0043161
isogroup18425	GO:0005737;GO:0005741;GO:0030867;GO:0004430;GO:0005524;GO:0048015;GO:0060872
isogroup20872	GO:0016021;GO:0004377
isogroup32745	GO:0005923;GO:0005737;GO:0005856;GO:0097165;GO:0005654;GO:0005886;GO:0007155;GO:0006378;GO:0035307
isogroup37257	GO:0005622
isogroup30892	GO:0070062;GO:1903561;GO:0016021;GO:0005887;GO:0005634;GO:0005886;GO:0015111;GO:0008507;GO:0071320;GO:0071371;GO:0015705;GO:0006811;GO:0006590;GO:0006810
isogroup15460	GO:0071013;GO:0005634;GO:0006397;GO:0007399;GO:0008380
isogroup35406	GO:0005813;GO:0031390;GO:0005737;GO:0070062;GO:0030496;GO:0000790;GO:0005730;GO:0005654;GO:0005634;GO:0000922;GO:0051539;GO:0005524;GO:0004003;GO:0008026;GO:0003682;GO:0003677;GO:0003688;GO:0008094;GO:0003690;GO:0051880;GO:0004386;GO:0046872;GO:0008186;GO:0003697;GO:0003727;GO:0045142;GO:1904976;GO:0072719;GO:0006974;GO:0072711;GO:0032508;GO:0006281;GO:0044806;GO:0007275;GO:0032091;GO:1990700;GO:0035563;GO:2000781;GO:0032079;GO:0045876;GO:1901838;GO:0031297;GO:0007062;GO:0006351
isogroup36534	
isogroup13622	GO:0003723;GO:0007275
isogroup00817	GO:0000777;GO:0008168;GO:0044822;GO:0007049;GO:0051301
isogroup23240	GO:0015630;GO:0000790;GO:0005730;GO:0005654;GO:0005634;GO:0048754;GO:0044770;GO:0051301;GO:1904976;GO:0072719;GO:0006974;GO:0072711;GO:0007623;GO:0009582;GO:0006260;GO:0030324;GO:0007067;GO:0002009;GO:0000122;GO:0045892;GO:2000781;GO:0042752;GO:0009628;GO:0006351
isogroup06358	GO:0005737;GO:0005524;GO:0004674;GO:1904262;GO:0006468
isogroup05865	GO:0003964;GO:0006313
isogroup33803	GO:0005783;GO:0005795;GO:0046872;GO:0010923
isogroup13441	GO:0016491
isogroup01537	GO:0015934;GO:0003735;GO:0006412
isogroup26503	GO:0031252;GO:0071944;GO:0005737;GO:0005881;GO:0045111;GO:0005730;GO:0005634;GO:0035327;GO:0010698;GO:0048487;GO:0003682;GO:0035035;GO:0042393;GO:0035257;GO:0008134;GO:0090630;GO:0001525;GO:0071391;GO:0007030;GO:0031023;GO:0051895;GO:0034260;GO:2000251;GO:0043085;GO:0010595;GO:0051491;GO:0043547;GO:0090316;GO:0045944;GO:2000114;GO:0042594;GO:0006351;GO:0035148;GO:0016192
isogroup05264	GO:0005813;GO:0005737;GO:0070062;GO:0000784;GO:0043596;GO:0005654;GO:0005634;GO:0043626;GO:0070557;GO:0003682;GO:0003684;GO:0032139;GO:0030337;GO:0000701;GO:0034644;GO:0030855;GO:0006272;GO:0006298;GO:0032077;GO:0045739;GO:0045740;GO:0019985
isogroup28536	GO:0030424;GO:0005911;GO:0030425;GO:0016021;GO:0005887;GO:0005886;GO:0008013;GO:0045296;GO:0005509;GO:0050839;GO:0042803;GO:0004872;GO:0048675;GO:0048846;GO:0007411;GO:0007412;GO:0007413;GO:0016339;GO:0044331;GO:0007156;GO:0050774;GO:0016318;GO:0045467;GO:0045463;GO:0048841;GO:0048814;GO:0031290;GO:0019233
isogroup22544	GO:0005743;GO:0005763;GO:0005739;GO:0005730;GO:0044822;GO:0003735;GO:0042769;GO:0000462;GO:0070125;GO:0070126;GO:0006412
isogroup19067	GO:0030123;GO:0030897;GO:0031902;GO:0005765;GO:0006914;GO:0034058;GO:0008333;GO:0006886;GO:1902774;GO:1990126;GO:0097576
isogroup35591	GO:0005765
isogroup14500	GO:0005680;GO:0005737;GO:0005815;GO:0005654;GO:0000922;GO:0097027;GO:0031145;GO:0051301;GO:0007064;GO:0090307;GO:1904146;GO:0090129;GO:0031915;GO:1904668;GO:0016567;GO:0040020
isogroup08460	GO:0005739;GO:0005634;GO:0004519;GO:0046872;GO:0072684
isogroup02081	GO:0005829;GO:0005634;GO:0046872;GO:0000977;GO:0001077;GO:0002244;GO:0030097;GO:0060712
isogroup03754	GO:0042765;GO:0005887;GO:0016020;GO:0034235;GO:0003923;GO:0016255;GO:0006506
isogroup06104	GO:0004519;GO:0046872;GO:0003964;GO:0006310
isogroup10313	GO:0005813;GO:0097542;GO:0005929;GO:0005737;GO:0030992;GO:0060349;GO:0002062;GO:0050680;GO:2000051;GO:1905515;GO:0001649;GO:0045880;GO:0007224
isogroup11789	GO:0031464;GO:0019902;GO:0016567;GO:0006511
isogroup19211	GO:0031672;GO:0005737;GO:0048471;GO:0030018;GO:0048738;GO:0002088;GO:0048747;GO:0030239;GO:0060538;GO:0007519
isogroup00150	GO:0005829;GO:0005634;GO:0018024;GO:0046872;GO:0016570
isogroup01051	GO:0005814;GO:0005524;GO:0004674;GO:0007099
isogroup07593	GO:0009897;GO:0005886;GO:0030315;GO:0008076;GO:0015467;GO:0086089;GO:1902282;GO:0098914;GO:0010107;GO:1990573;GO:0006813;GO:0086091;GO:0099625
isogroup02707	GO:0005840;GO:0003735;GO:0006412
isogroup11799	GO:0005737;GO:0070062;GO:0005576;GO:0005615;GO:0019898;GO:0030670;GO:0042589;GO:0048306;GO:0005044;GO:0008329;GO:0035375;GO:0044267;GO:0051607;GO:0030855;GO:0043152;GO:0045087;GO:0007275;GO:0015031
isogroup36024	GO:0005829;GO:0031419;GO:0008705;GO:0008898;GO:0008270;GO:0042558
isogroup21039	GO:0030054;GO:0005813;GO:0005654;GO:0005634;GO:0008021;GO:0005524;GO:0043015;GO:0000287;GO:0004674;GO:0050321;GO:0007409;GO:0051298;GO:0030010;GO:0031572;GO:0035556;GO:0007269;GO:0046777;GO:0009411
isogroup17658	GO:0030126;GO:0005615;GO:0060038;GO:0014066
isogroup00105	GO:0005615;GO:0005125;GO:0005160;GO:0030509;GO:0048468;GO:0045444;GO:0045668;GO:0001649;GO:0010862;GO:0042981;GO:0043408;GO:0060395
isogroup26237	GO:0005930;GO:0005737
isogroup07908	GO:0005783;GO:0005789;GO:0070062;GO:0032580;GO:0016021;GO:0016020;GO:0043262;GO:0005509;GO:0004382;GO:0042803;GO:0004871;GO:0045134;GO:0043123;GO:0030166;GO:0009191
isogroup03045	
isogroup26095	
isogroup28547	GO:0005964;GO:0005886;GO:0003824;GO:0005977;GO:0006468
isogroup12269	GO:0005634;GO:0036310;GO:0005524;GO:0003677;GO:0004386;GO:0006281
isogroup20771	GO:0005737;GO:0005829;GO:0070062;GO:0005654;GO:0005634;GO:0000502;GO:0005839;GO:0019773;GO:0004298;GO:0002479;GO:0043161
isogroup04929	GO:0000781;GO:0005634;GO:0030915;GO:0016874;GO:0046872;GO:0004842;GO:0006310;GO:0006281;GO:2001022
isogroup06851	GO:0005737;GO:0005525;GO:0003924;GO:0003743
isogroup23251	GO:0005811;GO:0000275;GO:0005739;GO:0046933;GO:0015986;GO:0006909;GO:0015992
isogroup35046	GO:0005887;GO:0005886;GO:0002116;GO:0017154;GO:0021960;GO:0007411;GO:0021785;GO:0021793;GO:0021602;GO:0021610;GO:0021612;GO:0021615;GO:0008045;GO:0007399;GO:0048812;GO:0021784;GO:0048841;GO:0030334;GO:0050923;GO:0071526;GO:1902287;GO:0048485;GO:0021636;GO:0021637;GO:0021644
isogroup13135	GO:0031225;GO:0005886;GO:0005918;GO:0042803;GO:0061343;GO:0007156;GO:0035160;GO:0016331;GO:0007424;GO:0035151;GO:0019991
isogroup14179	GO:0005737;GO:0005634;GO:0008408;GO:0008852;GO:0003676;GO:0008310;GO:0000729;GO:0006302;GO:0000724;GO:0090305
isogroup19949	GO:0008352;GO:0005874;GO:0000922;GO:0051301;GO:0051013;GO:0007067
isogroup19291	GO:0005829;GO:0005622;GO:0005654;GO:0005634;GO:0005524;GO:0035299;GO:0032958;GO:0043647;GO:0052746
isogroup30442	GO:0005634;GO:0008023;GO:0035327;GO:0003677;GO:0042393;GO:0031491;GO:0044822;GO:0000991;GO:0003700;GO:0070827;GO:0006338;GO:0006342;GO:0006397;GO:0042789;GO:0051028;GO:0061086;GO:0034728;GO:0032968;GO:0045191;GO:0010793;GO:0050684;GO:0051147;GO:0006355;GO:0008380;GO:0016032
isogroup01375	GO:0005938;GO:0043034;GO:0005856;GO:0005509;GO:0051693
isogroup19960	GO:0005622;GO:0043231;GO:0005730;GO:0044822
isogroup04349	GO:0005737;GO:0005634;GO:0008270
isogroup01366	GO:0005737;GO:0008270;GO:0090071
isogroup18591	GO:0016021;GO:0006915;GO:0007049
isogroup11410	GO:0071013;GO:0005737;GO:0005829;GO:0005634;GO:0071011;GO:0003729;GO:0000166;GO:0003723;GO:0008270;GO:0030036;GO:0007623;GO:0007303;GO:0007562;GO:0008062;GO:0009790;GO:0045475;GO:0007067;GO:0000398;GO:0045804;GO:2000767;GO:0008104;GO:0042752;GO:0045995
isogroup31532	GO:0005634;GO:0051301;GO:0007067
isogroup19107	
isogroup38765	GO:0030425;GO:0005887;GO:0005886;GO:0002116;GO:0017154;GO:0007411;GO:0070593;GO:0008045;GO:0035021;GO:0071678;GO:0035025;GO:0048841;GO:0030334;GO:1902287;GO:0097374
isogroup17902	GO:0005783;GO:0005789;GO:0016021;GO:0042059;GO:0010841;GO:0015031;GO:0006508;GO:0042058;GO:0050708;GO:0030431
isogroup22235	GO:0005737;GO:0005739;GO:0005777;GO:0008111;GO:0005102;GO:0006699;GO:0008206;GO:0006631;GO:0008300
isogroup11512	GO:0005912;GO:0005923;GO:0016020
isogroup06216	GO:0005634;GO:0016605;GO:0000166;GO:0061630;GO:0004842;GO:0008270;GO:0051301;GO:0000278;GO:0007093;GO:0007067;GO:0019941;GO:0032436;GO:0031398;GO:0031648;GO:0000209;GO:0006511
isogroup35370	GO:0016324;GO:0031526;GO:0005887;GO:0005886;GO:0015297;GO:0015184;GO:0015175;GO:0042605;GO:0006865;GO:0015811;GO:0050900;GO:0015804;GO:0006461
isogroup23440	GO:0070776;GO:0000786;GO:0016407;GO:0003677;GO:0004402;GO:0008134;GO:0008270;GO:0016573;GO:0043966;GO:0045892;GO:0006334;GO:0045944;GO:0045893;GO:0006351
isogroup08419	GO:0005813;GO:0048471;GO:0004197;GO:0004843;GO:0008270;GO:0007411;GO:0016477;GO:0051298;GO:0006897;GO:0016579;GO:0071108;GO:0070536;GO:0008277;GO:0006511
isogroup04358	
isogroup35407	GO:0005887;GO:0043231;GO:0045121;GO:0005524;GO:0005388;GO:0046872;GO:0030165;GO:0007420;GO:0006874;GO:0003407
isogroup12240	GO:0005911;GO:0070062;GO:0030175;GO:0005925;GO:0005887;GO:0030027;GO:0005634;GO:0048471;GO:0005886;GO:0005509;GO:0007015;GO:0009653;GO:0007155;GO:0016477;GO:0007267;GO:0007163;GO:0007156;GO:0016337
isogroup00746	GO:0005634
isogroup01507	GO:0005634;GO:0035861;GO:0044547;GO:0003690;GO:0004519;GO:0046975;GO:0042800;GO:0042803;GO:0003697;GO:0000014;GO:0043566;GO:0008270;GO:0008283;GO:0000737;GO:0000729;GO:0015074;GO:0006303;GO:0097676;GO:0010452;GO:0051568;GO:0044774;GO:0071157;GO:2001251;GO:0090305;GO:2000373;GO:2001034;GO:0031297
isogroup19990	GO:0005634;GO:0043565;GO:0045892;GO:0014028;GO:0006351
isogroup02088	GO:0005737;GO:0005615;GO:0005634;GO:0005886;GO:0031072;GO:0032781;GO:0035176
isogroup18760	GO:0005643;GO:0005654;GO:0005215;GO:0007067;GO:0006406;GO:0006611;GO:0006606;GO:0000055;GO:0000056
isogroup03055	GO:0030246
isogroup05854	GO:0005634;GO:0046872;GO:0003950;GO:0044822
isogroup30936	GO:0003964;GO:0006313
isogroup26617	GO:0005737;GO:0005829;GO:0005096;GO:0070374;GO:0051056;GO:0007165
isogroup34328	
isogroup24482	GO:0071013;GO:0005654;GO:0005681;GO:0005686;GO:0044822;GO:0030620;GO:0000398
isogroup16359	GO:0005737;GO:0070062;GO:0005730;GO:0005669;GO:0044822;GO:0043565;GO:0003713;GO:0043388;GO:0006355;GO:0006351
isogroup09055	GO:0032039;GO:0005654;GO:0005634;GO:0070876;GO:0006974;GO:0006281;GO:0007093;GO:0010212;GO:0016180;GO:0042795
isogroup14135	GO:0071013;GO:0005654;GO:0005686;GO:0071004;GO:0005684;GO:0044822;GO:0003723;GO:0000389;GO:0000398;GO:0000381
isogroup14773	GO:0016021;GO:0005524;GO:0046872;GO:0005391
isogroup17245	
isogroup14387	GO:0005814;GO:0005813;GO:0036064;GO:0097539;GO:0005929;GO:0005874;GO:0005634;GO:0001520;GO:0000922;GO:0017137;GO:0005200;GO:0007275;GO:1902017;GO:0007286
isogroup01700	GO:0005737;GO:0051082;GO:0009408
isogroup19437	GO:0005737;GO:0005829;GO:0005634;GO:0005524;GO:0046872;GO:0044822;GO:0004672;GO:0004674;GO:0042162;GO:0006281;GO:0006406;GO:0000184;GO:0018105;GO:0046854;GO:0046777;GO:0006950;GO:0000723
isogroup18848	GO:0005737;GO:0000340;GO:0003743;GO:0006417
isogroup01021	GO:0033018;GO:0005525
isogroup11030	GO:0016021;GO:0005886;GO:0015297;GO:0015992;GO:0046677
isogroup07479	GO:0005741;GO:0005524;GO:0046872;GO:0007275;GO:0006457;GO:0009408
isogroup13442	GO:0005737;GO:0003677;GO:0006355;GO:0006351
isogroup01811	GO:0005783;GO:0005789;GO:0070062;GO:0016021;GO:0043231;GO:0005743;GO:0005739;GO:0005777;GO:0004028;GO:0004029;GO:0004030;GO:0046577;GO:0050061;GO:0052814;GO:0006081;GO:0007417;GO:0008544;GO:0055114;GO:0007422;GO:0033306;GO:0006714
isogroup14312	GO:0005737;GO:0005634;GO:0061630;GO:0008270;GO:0042787
isogroup02183	GO:0005737;GO:0005634;GO:0005524;GO:0019788;GO:0061630;GO:0031625;GO:0006301;GO:0070534;GO:0045116
isogroup23811	GO:0070062;GO:0016021;GO:0005753;GO:0005739
isogroup08396	GO:0016021;GO:0005743;GO:0045263;GO:0015078;GO:0015986
isogroup36895	GO:0030054;GO:0016021;GO:0045211;GO:0004889
isogroup12452	GO:0005737
isogroup12886	GO:0005776;GO:0030136;GO:0005769;GO:0030897;GO:0005770;GO:0031902;GO:0005765;GO:0048471;GO:0097352;GO:0008333;GO:0032418;GO:0032400;GO:0030220;GO:0015031;GO:0048070;GO:0006904;GO:0016192
isogroup12858	GO:0005737;GO:0005856;GO:0005886;GO:0005080;GO:0042493
isogroup13247	GO:0005829;GO:0047840;GO:0042802;GO:0000287;GO:0047429;GO:0032556;GO:0016462;GO:0015949;GO:0009143;GO:0051289
isogroup02570	GO:0031526;GO:0070062;GO:0016021;GO:0005887;GO:0005886;GO:0031982;GO:0015171;GO:0005328;GO:0006865;GO:0006520;GO:0009636;GO:0006810
isogroup17215	GO:0005737;GO:0005874;GO:0005525;GO:0005200;GO:0007017
isogroup36857	GO:0005737;GO:0016404;GO:0003824;GO:0051287;GO:0070403;GO:0004957;GO:0097070;GO:0060206;GO:0007565;GO:0045786;GO:0030728;GO:0007567;GO:0006693;GO:0070493;GO:0007179
isogroup02448	GO:0005737;GO:0005634;GO:0005839;GO:0019773;GO:0004298;GO:0006511
isogroup27098	
isogroup14555	GO:0005634;GO:0005886;GO:0051087;GO:0031682;GO:0004871;GO:0007186;GO:1901386
