gene,pval
isogroup09662,-5.550529926
isogroup15850,-9.317093072
isogroup13999,-6.609943525
isogroup08108,-8.878312033
isogroup10129,-13.74949357
isogroup09655,-9.561517674
isogroup00871,-3.794495472
isogroup04999,-4.932514032
isogroup18254,-3.357090157
isogroup11731,-3.963508486
isogroup11716,-3.100667275
isogroup03484,-4.257939256
isogroup11274,-3.303197293
isogroup23676,-2.83572757
isogroup15587,-2.830301974
isogroup15650,-7.408577871
isogroup02757,-15.64147348
isogroup00875,-2.680938415
isogroup26828,-2.696265031
isogroup21575,-3.186240335
isogroup25989,-2.937761299
isogroup30313,-2.626915986
isogroup31314,-2.694940972
isogroup13241,-2.469676533
isogroup03373,-5.681756236
isogroup03241,-3.03101955
isogroup01328,-6.298629881
isogroup05921,-5.122233177
isogroup15473,-2.542946048
isogroup01679,-4.337533925
isogroup05288,-5.147911845
isogroup28140,-3.411164563
isogroup33684,-2.884569148
isogroup03279,-2.595762566
isogroup03376,-3.00079357
isogroup31986,-2.498156401
isogroup19819,-5.734229511
isogroup02986,-15.82740572
isogroup23723,-4.443183166
isogroup01196,-3.461402234
isogroup03562,-2.563970544
isogroup08792,-2.568918082
isogroup32336,-2.211746096
isogroup20705,-2.136032863
isogroup21458,-2.496233847
isogroup34962,-2.898573348
isogroup08704,-3.008667468
isogroup28801,-2.101142451
isogroup01069,-2.089180242
isogroup12571,-2.452188098
isogroup37236,-4.322349024
isogroup21185,-2.476744804
isogroup03566,-3.60236529
isogroup00740,-4.118134171
isogroup02572,-1.997967445
isogroup15762,-3.377626205
isogroup23210,-9.910520063
isogroup08040,-2.124756877
isogroup00807,-2.046588796
isogroup25159,-7.999466414
isogroup17969,-4.218100697
isogroup02020,-4.539100746
isogroup22805,-3.263936424
isogroup21121,-1.959574646
isogroup21522,-1.949897068
isogroup02871,-1.970143737
isogroup11303,-7.418446624
isogroup13483,-5.262876104
isogroup01444,-1.921753614
isogroup05099,-2.028953966
isogroup07557,-2.023311705
isogroup09483,-1.927451329
isogroup16993,-5.89958515
isogroup21609,-1.925818765
isogroup10694,-2.317435902
isogroup30961,-2.855173764
isogroup10584,-1.90291749
isogroup10956,-2.766797185
isogroup30976,-12.01733082
isogroup08024,-9.879454053
isogroup16126,-2.99462933
isogroup12576,-11.34139053
isogroup26200,-1.859811232
isogroup06747,-6.679166998
isogroup01635,-1.819962372
isogroup05719,-1.889516795
isogroup05107,-2.936358493
isogroup05543,-4.541824786
isogroup03518,-1.984123185
isogroup12231,-2.053934625
isogroup03022,-1.833736434
isogroup33311,-2.902260172
isogroup11029,-5.654856502
isogroup13918,-3.418117337
isogroup11407,-1.756321826
isogroup11033,-1.859895662
isogroup10194,-2.182899902
isogroup23907,-1.936417217
isogroup06939,-1.809076741
isogroup34555,-2.06840013
isogroup13347,-4.47204824
isogroup01776,-1.730086163
isogroup27240,-1.774811914
isogroup02402,-2.003078882
isogroup16619,-1.925831848
isogroup00169,-1.772041842
isogroup02798,-2.370321084
isogroup00959,-6.793009531
isogroup16488,-3.505529832
isogroup36648,-2.391650448
isogroup28942,-2.73831971
isogroup16939,-3.526033632
isogroup14117,-2.743309675
isogroup03418,-3.394449062
isogroup02732,-4.065325641
isogroup31693,-1.66757325
isogroup28227,-1.867603616
isogroup23848,-1.823325831
isogroup04927,-1.681771398
isogroup06276,-1.680773196
isogroup00070,-5.217976066
isogroup04495,-1.81412153
isogroup08766,-1.696643408
isogroup15991,-10.43438548
isogroup04426,-1.847345405
isogroup20047,-3.058155868
isogroup10101,-1.609466089
isogroup00966,-3.999889125
isogroup06691,-2.642268622
isogroup03688,-3.238751077
isogroup20210,-1.614792455
isogroup23625,-2.339142164
isogroup02742,-1.594656684
isogroup00709,-2.377956855
isogroup06251,-4.622655771
isogroup30674,-3.097607317
isogroup01477,-5.900693828
isogroup09316,-2.412372579
isogroup02329,-2.438112326
isogroup11052,-1.885420123
isogroup16425,-1.761624101
isogroup23209,-2.21385648
isogroup28644,-2.210342909
isogroup09326,-8.072440213
isogroup19924,-1.583690516
isogroup34197,-1.573955078
isogroup05621,-1.867252561
isogroup01734,-4.333885256
isogroup10698,-1.610028312
isogroup14750,-1.822975072
isogroup28226,-1.556334022
isogroup29324,-2.59798295
isogroup01866,-1.539015422
isogroup06414,-1.690398571
isogroup03313,-2.306290023
isogroup12521,-4.510151158
isogroup09356,-1.749848044
isogroup34945,-2.057939317
isogroup02707,-6.037864316
isogroup05032,-2.125620196
isogroup05953,-10.07506177
isogroup08514,-1.738403153
isogroup04053,-1.713611477
isogroup33687,-1.626667978
isogroup09666,-2.848421736
isogroup07861,-1.642361785
isogroup01645,-1.503953796
isogroup01143,-2.647800855
isogroup05592,-5.831445959
isogroup07935,-1.866418922
isogroup22847,-1.519163815
isogroup10681,-1.556924376
isogroup15828,-2.34708274
isogroup01481,-1.496245121
isogroup01485,-6.356006151
isogroup31988,-4.626851089
isogroup22104,-1.474776544
isogroup21446,-2.008040768
isogroup31809,-1.618778639
isogroup23289,-1.474484246
isogroup29633,-1.733231571
isogroup09332,-2.576511955
isogroup29155,-1.597190481
isogroup26214,-1.513609268
isogroup14779,-8.064919714
isogroup03798,-1.810688578
isogroup04491,-1.491804189
isogroup00276,-8.002700917
isogroup08706,-1.483029791
isogroup25362,-8.544752298
isogroup04340,-1.915307786
isogroup35231,-2.074854416
isogroup05330,-1.905842362
isogroup23418,-1.843908257
isogroup38370,-6.489766418
isogroup01136,-1.540090546
isogroup14999,-2.110195111
isogroup09817,-9.719427103
isogroup16328,-1.48004436
isogroup30901,-7.232211723
isogroup06294,-2.414858725
isogroup00979,-1.958576401
isogroup12457,-1.417842636
isogroup05840,-1.396702144
isogroup06556,-4.669379185
isogroup08504,-2.53048555
isogroup13169,-1.423134542
isogroup07899,-1.391780211
isogroup14897,-1.528633773
isogroup05682,-5.333926924
isogroup06206,-1.383290462
isogroup16546,-1.380718447
isogroup01568,-1.540381325
isogroup37662,-7.091045914
isogroup01180,-1.465150366
isogroup12324,-1.417994747
isogroup03646,-1.808281603
isogroup08158,-1.818386472
isogroup00403,-2.173851135
isogroup20291,-5.428955859
isogroup11593,-1.35012558
isogroup10330,-2.084195092
isogroup04776,-1.39018038
isogroup07034,-2.80597843
isogroup13181,-8.846152365
isogroup13064,-1.565233376
isogroup07450,-1.575705588
isogroup02850,-1.978872678
isogroup01317,-1.47560669
isogroup12413,-1.359600397
isogroup14348,-1.457064127
isogroup23148,-2.523860019
isogroup08199,-6.526222835
isogroup17012,-1.349869586
isogroup05993,-1.420383011
isogroup29030,-1.332263093
isogroup03993,-1.509735325
isogroup05047,-1.341482762
isogroup35613,-1.387792057
isogroup23760,-1.346142026
isogroup20295,-1.376549324
isogroup03609,-2.459833482
isogroup04575,-1.479968932
isogroup09947,-1.531486451
isogroup36081,-2.005490588
isogroup06396,-2.418649282
isogroup22946,-1.98362269
isogroup06685,-3.030112535
isogroup23997,-2.418829575
isogroup02278,-1.395833885
isogroup32378,-2.89661702
isogroup31975,-1.650556408
isogroup11455,-1.664546517
isogroup23261,-8.825617567
isogroup16569,-1.33317724
isogroup04057,-2.857486182
isogroup31217,-1.63913322
isogroup14312,-1.510750487
isogroup05074,-1.339955411
isogroup07293,-1.288954077
isogroup27817,-1.352005659
isogroup01496,-1.289657936
isogroup24375,-1.284984343
isogroup35068,-1.642879318
isogroup25299,-1.801178948
isogroup13142,-1.898729469
isogroup17639,-1.556799308
isogroup01017,-2.11354671
isogroup01940,-2.813719326
isogroup35041,-2.218932954
isogroup03336,-1.444971605
isogroup15753,-2.056787698
isogroup07781,-1.275311029
isogroup09126,-1.276229442
isogroup00801,-1.259459189
isogroup04111,-1.259790228
isogroup05634,-4.612086438
isogroup06159,-1.263692995
isogroup07349,-1.63771299
isogroup10628,-4.212834531
isogroup12647,-1.363433839
isogroup02147,-1.554524903
isogroup07047,-1.502464284
isogroup06376,-1.249794417
isogroup19875,-1.248829983
isogroup15098,-1.245894045
isogroup06999,-1.79586339
isogroup02221,-1.241688533
isogroup03978,-3.822557251
isogroup04459,-6.801906545
