gene,pval
isogroup15495,-1.778142193
isogroup15031,-1.159860154
isogroup21655,-1.191933504
isogroup31565,-1.217025386
isogroup27779,-1.151680238
isogroup23025,-1.287386174
isogroup17153,-1.342511066
isogroup10620,-1.230737099
isogroup10709,-1.154728694
isogroup09266,-1.22110506
isogroup14225,-1.266628913
isogroup01061,-1.380990678
isogroup03776,-1.164464502
isogroup09610,-1.244499078
isogroup23625,-1.615271073
isogroup15226,-1.692869567
isogroup18602,-1.325589962
isogroup25043,-1.161170454
isogroup01954,-1.124604594
isogroup13145,-1.125069481
isogroup07017,-1.191566157
isogroup05976,-5.701916577
isogroup27825,-1.124853022
isogroup05224,-1.200864128
isogroup03478,-2.144922801
isogroup30206,-1.837344064
isogroup02071,-1.471270705
isogroup00807,-1.153158037
isogroup01136,-1.209659208
isogroup10784,-2.066932027
isogroup23148,-2.077946081
isogroup22573,-1.339951174
isogroup14173,-1.114241
isogroup11388,-1.155472685
isogroup04718,-1.110079151
isogroup00070,-3.381047343
isogroup00190,-1.13062346
isogroup22256,-1.120520995
isogroup24687,-1.219934201
isogroup12395,-1.405950548
isogroup01477,-3.914276575
isogroup34197,-1.106777063
isogroup08621,-2.925299393
isogroup29689,-1.318850485
isogroup04740,-1.473450914
isogroup35271,-1.0904082
isogroup05876,-1.301715217
isogroup03632,-3.353004452
isogroup02402,-1.263243297
isogroup32457,-1.254539662
isogroup20600,-1.180672747
isogroup35023,-1.097460181
isogroup02820,-1.239870402
isogroup07047,-1.306025051
isogroup10412,-1.205765638
isogroup00013,-1.195732561
isogroup00213,-1.659642363
isogroup01886,-2.318271667
isogroup36621,-1.150855609
isogroup05411,-1.302957906
isogroup00854,-1.096696238
isogroup11428,-1.202792155
isogroup03443,-1.547872308
isogroup30327,-1.443107235
isogroup05150,-1.227243139
isogroup14850,-1.104229613
isogroup33665,-1.163502521
isogroup06936,-3.169496992
isogroup00973,-1.108297179
isogroup02888,-1.065751108
isogroup13769,-1.165928284
isogroup27195,-2.343383575
isogroup23315,-1.091619407
isogroup02228,-1.645564034
isogroup00778,-1.313170844
isogroup00520,-1.189327217
isogroup12931,-1.096216144
isogroup03611,-1.24182827
isogroup25169,-1.643779171
isogroup02677,-1.063000231
isogroup20234,-1.132454777
isogroup13227,-1.215721523
isogroup21810,-1.17229146
isogroup21839,-1.074080252
isogroup04465,-1.090986211
isogroup31314,-1.113035312
isogroup24960,-1.065044796
isogroup02998,-1.313723781
isogroup13665,-1.080427162
isogroup02147,-1.270379638
isogroup01351,-1.277964422
isogroup29435,-1.090226532
isogroup11178,-1.035363944
isogroup16385,-1.169938029
isogroup05686,-1.23371134
isogroup16927,-1.136780578
isogroup23420,-1.086391522
isogroup15210,-1.038578226
isogroup07182,-1.035218254
isogroup21542,-1.062127252
isogroup04919,-1.072695874
isogroup08098,-1.598218894
isogroup15238,-1.04681007
isogroup10120,-1.345269004
isogroup12413,-1.019319797
isogroup29777,-1.48454787
isogroup04336,-1.012471487
isogroup23850,-1.018953401
isogroup02613,-1.101275493
isogroup07450,-1.17354523
isogroup37045,-1.004363764
isogroup11853,-1.19593331
isogroup21929,-1.106006317
isogroup24537,-1.03365262
isogroup07530,-1.011705844
isogroup27817,-1.04665405
isogroup34221,-1.120050954
isogroup19875,-1.005598462
isogroup24208,-1.134091546
isogroup32378,-2.156275259
isogroup07546,-1.195552036
isogroup09326,-4.756495542
isogroup23422,-1.324204288
isogroup31069,-1.000900873
isogroup08965,-1.338052451
isogroup13858,-1.405600395
isogroup32472,-1.091176541
isogroup32021,-1.010757176
isogroup07557,-1.047791315
isogroup31965,-1.066332
isogroup08727,-1.31159454
isogroup01384,-1.14123507
isogroup17561,-1.230571051
isogroup06638,-1.305870391
isogroup07921,-1.174261277
isogroup04931,-1.44961752
isogroup23451,-1.222260467
isogroup14439,-1.032789754
isogroup06894,-1.028097972
isogroup36857,-1.189018132
isogroup06056,-0.98470154
isogroup23954,-0.978637376
isogroup36926,-0.982507863
isogroup00438,-0.993556364
isogroup28627,-1.179899097
isogroup23287,-1.675889175
isogroup21951,-0.971229889
isogroup03178,-0.983876229
isogroup34554,-1.086883539
isogroup20577,-1.024774652
isogroup15220,-1.15012669
isogroup07509,-1.004737433
isogroup17012,-0.972246106
isogroup15176,-1.461008139
isogroup02891,-1.029892979
isogroup08040,-1.028249999
isogroup22904,-0.962596151
isogroup26470,-1.332580029
isogroup11040,-1.003138645
isogroup19932,-0.988489839
isogroup09165,-3.395180025
isogroup00601,-0.962361533
isogroup08545,-1.290101721
isogroup00860,-1.27830473
isogroup13645,-4.846450131
isogroup08970,-0.96103068
isogroup03533,-1.426827377
isogroup23618,-1.18487631
isogroup24648,-0.994332308
isogroup16901,-1.485791721
isogroup11136,-1.163219713
isogroup04846,-1.012894321
isogroup11513,-0.947225735
isogroup21010,-1.10423714
isogroup01453,-0.950954729
isogroup05512,-1.581627184
isogroup00904,-0.991960655
isogroup04971,-2.103133531
isogroup07464,-0.949525829
isogroup03456,-1.068567679
isogroup01528,-1.022950403
isogroup36356,-0.965598756
isogroup12668,-0.978003732
isogroup02054,-0.981113839
isogroup18698,-0.949251138
isogroup08135,-1.21968096
isogroup00188,-1.096988769
isogroup20665,-1.034063948
isogroup01989,-3.060979678
isogroup20200,-1.430575883
isogroup02553,-1.243648764
isogroup08696,-1.03723037
isogroup03038,-1.196468827
isogroup03014,-0.934197238
isogroup01679,-1.606694335
isogroup20889,-1.253993561
isogroup23607,-0.926392918
isogroup18306,-1.206987768
isogroup19479,-0.951839927
isogroup13346,-1.157056261
isogroup08915,-1.380591902
isogroup04689,-0.971401681
isogroup16996,-0.920599638
isogroup17060,-0.960428565
isogroup10347,-0.933840203
isogroup11029,-2.75167591
isogroup13310,-2.79276472
isogroup04742,-4.96444346
isogroup21519,-0.930673725
isogroup24092,-0.929316671
isogroup10101,-0.914285633
isogroup32117,-0.913635332
isogroup27855,-1.539756332
isogroup16969,-0.912757524
isogroup07767,-1.222073585
isogroup17057,-1.006798454
isogroup08041,-1.290654996
isogroup16884,-0.941324179
isogroup03507,-1.079562686
isogroup02614,-0.976268852
isogroup00984,-1.013300249
isogroup03532,-1.054636168
isogroup02988,-1.174155968
isogroup27508,-1.061992226
isogroup14253,-0.922548282
isogroup22496,-0.955912397
isogroup33289,-0.950356076
isogroup04236,-1.654679886
isogroup04030,-1.016786397
isogroup04067,-1.884800386
isogroup02396,-1.028042876
isogroup09376,-0.926859867
isogroup38485,-2.391751619
isogroup13076,-0.918674419
isogroup14534,-0.906004494
isogroup08289,-0.957950584
isogroup04273,-0.894916456
isogroup13226,-0.972201382
isogroup00909,-1.396331428
isogroup00672,-0.903562482
isogroup31183,-1.674911004
isogroup15133,-1.389871044
isogroup07899,-0.892789599
isogroup32473,-0.98464782
isogroup13483,-2.259660465
isogroup27742,-0.88854893
isogroup00891,-0.88757318
isogroup15669,-0.897095608
isogroup11707,-0.923648812
isogroup05028,-0.891909135
isogroup03501,-1.027057585
isogroup15038,-0.971336268
isogroup33891,-0.896483387
isogroup21027,-0.900238603
isogroup00736,-0.88775613
isogroup39710,-0.906751061
isogroup23835,-0.881914865
isogroup03872,-1.045006623
isogroup11930,-1.31970284
isogroup05581,-0.92544266
isogroup15930,-1.255711127
isogroup28257,-0.960731013
isogroup01653,-0.964395442
isogroup30763,-0.869952785
isogroup23692,-1.414267501
isogroup25248,-1.355287705
isogroup03743,-1.802323273
isogroup23324,-0.909368023
isogroup25420,-0.902675669
isogroup06506,-0.891208045
isogroup22230,-0.872831682
isogroup04860,-0.896158442
isogroup20651,-1.701790319
isogroup13808,-1.317470974
isogroup03151,-0.956064988
isogroup04752,-0.87628143
isogroup10072,-0.886026318
isogroup14268,-0.858349293
isogroup14181,-0.85824101
isogroup14759,-0.985987594
isogroup19160,-0.867938858
isogroup05075,-0.922451611
isogroup10834,-1.463148653
isogroup05288,-1.75921431
isogroup14063,-0.981200215
isogroup05779,-0.967036135
isogroup18883,-0.966179705
isogroup17193,-1.545547121
isogroup31877,-0.902072993
isogroup06457,-0.948229324
isogroup02687,-0.980970267
isogroup30552,-0.879642391
isogroup33687,-0.923562722
isogroup34339,-0.852188589
isogroup18026,-1.310372147
isogroup06140,-1.143662088
isogroup02707,-3.094053466
isogroup11184,-0.885480957
isogroup05521,-0.955121251
isogroup29144,-0.994240957
isogroup24529,-0.853153812
isogroup11455,-1.065146198
isogroup13331,-0.853492881
isogroup07805,-0.851956058
isogroup08012,-0.9309011
isogroup07861,-0.923652063
isogroup24850,-1.038923144
isogroup24336,-1.184025079
isogroup16175,-0.841767116
isogroup03110,-1.030506613
isogroup35534,-0.930280697
isogroup03002,-0.913808527
isogroup12505,-1.00464868
isogroup27840,-0.86242715
isogroup12472,-0.844381594
isogroup07095,-1.863496387
isogroup11084,-1.035991528
isogroup13064,-0.955964735
isogroup21030,-1.60964001
isogroup29948,-0.875583691
isogroup23548,-0.880158274
isogroup14475,-0.853098668
isogroup05471,-1.645433061
isogroup11271,-0.943507227
isogroup11274,-0.976754897
isogroup05773,-0.86544844
isogroup04614,-1.051200696
isogroup24671,-0.936458927
isogroup03959,-0.989070563
isogroup00169,-0.851144175
isogroup01481,-0.844447162
isogroup20305,-1.074447244
isogroup20161,-1.565138005
isogroup03495,-1.188877674
isogroup03579,-0.967206814
isogroup23205,-1.008816687
isogroup16043,-0.871707514
isogroup02120,-1.383122769
isogroup24821,-1.036804468
isogroup33642,-0.982967616
isogroup08962,-0.989273178
isogroup10172,-0.853576256
isogroup09761,-0.834135437
isogroup04807,-1.264220571
isogroup10170,-0.876502644
isogroup22942,-0.820198603
isogroup28252,-0.945201864
isogroup05668,-0.909723904
isogroup18528,-0.89633302
isogroup04115,-1.183704702
isogroup14874,-0.817655235
isogroup01971,-2.86459686
isogroup34619,-0.852977344
isogroup02775,-0.815152693
isogroup33077,-0.848217692
isogroup01039,-0.822134606
isogroup08479,-0.86451868
isogroup05830,-0.80878228
isogroup35068,-1.011375145
isogroup06139,-0.815409887
isogroup04054,-0.818850085
isogroup11336,-0.966869632
isogroup15990,-0.876427799
isogroup30096,-0.859044621
isogroup16275,-0.96798332
isogroup22596,-1.567504396
isogroup19860,-0.834043083
isogroup00715,-0.920645318
isogroup10079,-0.829285486
isogroup13321,-0.877950981
isogroup05993,-0.856748976
isogroup17895,-0.837021376
isogroup31327,-0.859268746
isogroup13260,-0.86827851
isogroup11145,-0.799352948
isogroup24815,-1.005950431
isogroup02217,-0.963489419
isogroup04412,-0.973822766
isogroup16365,-0.800367811
isogroup10571,-4.43761198
isogroup01444,-0.79262601
isogroup11240,-0.832216255
isogroup25228,-0.862217928
isogroup31955,-0.947398951
isogroup02641,-0.798432494
isogroup26008,-0.842803975
isogroup16667,-1.274263497
isogroup06096,-0.792779035
isogroup09203,-1.729349901
isogroup15492,-0.788278881
isogroup17149,-0.789660015
isogroup06609,-0.82527815
isogroup25313,-1.056795752
isogroup36128,-1.071738559
isogroup27863,-1.508003644
isogroup18610,-1.049658211
isogroup24812,-0.792646284
isogroup03655,-0.854279021
isogroup31195,-0.894304185
isogroup08542,-0.818418943
isogroup03325,-0.827821394
isogroup02963,-0.794538517
isogroup04077,-0.781976128
isogroup03124,-0.845182982
isogroup09709,-1.645841552
isogroup25106,-0.786664135
isogroup16501,-1.088139056
isogroup23056,-0.786363909
isogroup26109,-1.310895631
isogroup30015,-0.777626357
isogroup20291,-2.854770084
isogroup39562,-4.547787768
isogroup09990,-0.786215205
isogroup37238,-0.787302086
isogroup01162,-0.77600097
isogroup01213,-0.812377003
isogroup12649,-0.782255693
isogroup03481,-0.777291998
isogroup31986,-0.847296288
isogroup35323,-0.805290527
isogroup23302,-0.77935261
isogroup05989,-1.009809243
isogroup08498,-0.913530266
isogroup28434,-0.776429195
isogroup02315,-0.775115489
isogroup18501,-0.966675118
isogroup03864,-0.811065299
isogroup00272,-1.141875652
isogroup05047,-0.775984467
isogroup07295,-0.768256117
isogroup01298,-0.863932356
isogroup31644,-0.797898671
isogroup25006,-0.80296386
isogroup03546,-1.500983972
isogroup01078,-1.216608639
isogroup25212,-1.711745213
isogroup25415,-0.779981228
isogroup10192,-0.763999283
isogroup07932,-0.762513073
isogroup10269,-1.04348505
isogroup06239,-0.796228984
isogroup02639,-1.503726084
isogroup30976,-4.068705873
isogroup05350,-1.310678336
isogroup31313,-0.766716814
isogroup02604,-0.853132918
isogroup02110,-0.75838231
isogroup11968,-0.850206296
isogroup35214,-1.083219235
isogroup03715,-2.860591998
isogroup09013,-0.761600339
isogroup08504,-1.316513807
isogroup04908,-1.32452861
isogroup13553,-0.757708131
isogroup10703,-1.4883295
isogroup29487,-0.857402406
isogroup32808,-0.749669226
isogroup13164,-0.753581406
isogroup30713,-0.749525592
isogroup18535,-0.794863264
isogroup11088,-0.794571575
isogroup09745,-0.783477757
isogroup14641,-0.749777786
isogroup15795,-0.794359562
isogroup09505,-0.750183083
isogroup29496,-1.539774504
isogroup29031,-0.783614277
isogroup04421,-0.858257605
isogroup24756,-0.806373433
isogroup08152,-0.74837594
isogroup15267,-0.890287686
isogroup08515,-0.888540886
isogroup21977,-0.781998369
isogroup10737,-0.920372298
isogroup07451,-0.780497611
isogroup01418,-1.439202992
isogroup04103,-0.750195438
isogroup02572,-0.741839196
isogroup37528,-0.788536041
isogroup34040,-1.32990353
isogroup15559,-1.272160288
isogroup11609,-0.98042525
isogroup23078,-0.774547701
isogroup13170,-0.823036615
isogroup03895,-0.739462892
isogroup03833,-0.786936963
isogroup04495,-0.804888991
isogroup33924,-0.737507953
isogroup05433,-0.781637587
isogroup27176,-1.249550053
isogroup10730,-0.736275568
isogroup10246,-1.116120897
isogroup08906,-0.821427057
isogroup16976,-0.85246838
isogroup03073,-0.841718177
isogroup35342,-0.852875605
isogroup24606,-0.735051099
isogroup20190,-0.740360536
isogroup25189,-0.846659744
isogroup14101,-0.749298237
isogroup03674,-1.287656763
isogroup04806,-0.927008259
isogroup17161,-0.739100876
isogroup29563,-0.731621464
isogroup05942,-0.811503964
isogroup02281,-0.936865985
isogroup34735,-0.758618356
isogroup05798,-0.728400122
isogroup09251,-0.73324402
isogroup34398,-0.766397644
isogroup24516,-0.741367516
isogroup07793,-0.820089162
isogroup34658,-0.826109691
isogroup01054,-1.509668564
isogroup24438,-0.722675648
isogroup00298,-0.727300096
isogroup08475,-0.736856026
isogroup07924,-0.774364076
isogroup12879,-0.720880126
isogroup14283,-1.333339296
isogroup28136,-0.75193622
isogroup00480,-0.788789131
isogroup04496,-0.744376952
isogroup36859,-0.720119255
isogroup01185,-0.719205302
isogroup01874,-0.730474467
isogroup03504,-1.220645099
isogroup01465,-0.911223932
isogroup08921,-0.916538612
isogroup21609,-0.729198024
isogroup04487,-0.728589848
isogroup17659,-0.770864644
isogroup09536,-0.739973264
isogroup09208,-0.939841167
isogroup10473,-0.714566043
isogroup13698,-0.743605977
isogroup01069,-0.715029647
isogroup24183,-0.801110462
isogroup38797,-1.172918726
isogroup03275,-3.520446871
isogroup07203,-0.750144955
isogroup24550,-1.147572851
isogroup09633,-0.722695728
isogroup22036,-0.884310485
isogroup15597,-0.795592925
isogroup15901,-0.822098872
isogroup07319,-0.813825699
isogroup08547,-0.716023252
isogroup03019,-0.928898642
isogroup00129,-3.617577138
isogroup25159,-2.46841926
isogroup02427,-4.165678883
isogroup06130,-0.792328543
isogroup16858,-0.7208751
isogroup19909,-0.728288476
isogroup03461,-0.731357642
isogroup35024,-0.706165655
isogroup04265,-1.093359716
isogroup15306,-0.72488923
isogroup01013,-0.773025041
isogroup10992,-0.772307075
isogroup08338,-0.737716448
isogroup17350,-1.090408471
isogroup06076,-0.703501829
isogroup33081,-1.805015147
isogroup30827,-0.705926469
isogroup07257,-0.908862685
isogroup00785,-1.768825426
isogroup01858,-0.83797883
isogroup38086,-0.908360366
isogroup09070,-0.755283551
isogroup27308,-0.712456286
isogroup24213,-1.051914877
isogroup22266,-0.917912906
isogroup09765,-0.912250135
isogroup18214,-1.323047452
isogroup17971,-0.705098635
isogroup35613,-0.721080129
isogroup33935,-0.760779121
isogroup28612,-1.026823027
isogroup13679,-0.985484494
isogroup03484,-1.002708324
isogroup16862,-0.735487503
isogroup36439,-0.703920613
isogroup03108,-1.028022716
isogroup10759,-0.82725292
isogroup03045,-0.713859421
isogroup02325,-0.889038775
isogroup03195,-1.084378244
isogroup02459,-0.742082224
isogroup10647,-0.836095435
isogroup03254,-0.852556929
isogroup36022,-0.699306579
isogroup22208,-0.77023757
isogroup03202,-1.173752541
isogroup17119,-0.742792987
isogroup05074,-0.715572218
isogroup02118,-0.729646861
isogroup35255,-0.763333268
isogroup02230,-0.941201603
isogroup13806,-3.458879747
isogroup04870,-1.392363838
isogroup08073,-0.686619153
